"FullName","Length","LastWriteTime"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\.git\hooks\update.sample","3650","04-Aug-2025 08:45:18"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\.git\index","1871","13-Aug-2025 22:12:57"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\.git\info\exclude","240","04-Aug-2025 08:45:18"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\.git\logs\HEAD","1495","13-Aug-2025 22:13:03"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\.git\logs\refs\heads\main","994","13-Aug-2025 22:13:03"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\.git\logs\refs\remotes\origin\HEAD","151","04-Aug-2025 08:46:15"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\.git\logs\refs\remotes\origin\main","806","13-Aug-2025 22:14:06"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\.git\objects\05\dadd7789655a27c2a012139c8690cdf501ca57","34449","04-Aug-2025 08:46:14"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\.git\objects\08\cfe5e4dba11f0223ac44a46ccdce418c200042","6755","04-Aug-2025 09:07:18"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\.git\objects\09\3ee6e1758b3bfc3cc4fe681e16369f4eaf8111","843","04-Aug-2025 08:46:13"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\.git\objects\10\305b24f897c74969b3eec1d13acfcc9045a5f1","846","04-Aug-2025 08:46:13"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\.git\objects\16\b4b5f170e89736788c6f7e42d2f59eab98feb7","1485","04-Aug-2025 09:07:18"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\.git\objects\17\185e177c4f36f3729916075107314a0c6b842f","854","13-Aug-2025 22:12:57"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\.git\objects\1a\5066990b3d8e4287e0de67b11960e4596d0968","438","04-Aug-2025 08:46:15"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\.git\objects\1a\e13cc9f42f7194752dfa85d637aa7354179e21","861","04-Aug-2025 08:46:13"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\.git\objects\1b\9a48064714348518421c7d0d476f60902ae928","3357","04-Aug-2025 08:46:15"
"M:\OneDrive\Documents\GitHub\CAPM_Exam\.git\objects\1d\6395791e37f936fd62cf9cf497b471362a40b6","35248","13-Aug-2025 22:12:29"
